hrsleep,age,sex,height,weight,bmi,mdietalk,heartattev,mod10fwk,vig10fwk,deprx,smokev,alc1yr,hinotcove
4,41.63137255,0.478431373,66.95294118,186.145098,29.21270595,0.349019608,0.047058824,2.729411765,1.670588235,0.141176471,0.560784314,0.662745098,0.709803922
5,41.43197756,0.525946704,66.79663394,180.6367461,28.40416544,0.322580645,0.037868163,3.039270687,2.0371669,0.119214586,0.514726508,0.6914446,0.764375877
6,42.1253406,0.53912028,66.69248735,176.7909692,27.87203968,0.294667186,0.01673803,2.960685091,2.116193071,0.074347995,0.401712729,0.71701051,0.799532892
7,41.68965517,0.50481516,67.11991302,174.2395154,27.09514754,0.248524386,0.014911463,3.25240758,2.350264057,0.059335197,0.345138242,0.736253495,0.824168997
8,41.06347687,0.536842105,66.88899522,173.1365231,27.12644335,0.246570973,0.014992026,3.03062201,2.226315789,0.079744817,0.360446571,0.676874003,0.76937799
9,40.27352941,0.641176471,66.62941176,172.5705882,27.25882352,0.279411765,0.014705882,3.308823529,2.142647059,0.108823529,0.376470588,0.661764706,0.791176471
10,40.47368421,0.584210526,66.35263158,174.0947368,27.73173673,0.289473684,0.026315789,2.786842105,1.657894737,0.205263158,0.431578947,0.594736842,0.731578947
11,43.69230769,0.538461538,67.07692308,185.9230769,29.05384636,0.230769231,0.076923077,2.923076923,1.230769231,0.230769231,0.615384615,0.923076923,0.846153846
12,38.44262295,0.540983607,66.37704918,176.3606557,28.07918033,0.213114754,0,2.590163934,2.090163934,0.262295082,0.573770492,0.68852459,0.639344262
